UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15
129215,237792,218724,240277,213613,231712,229814,213349,183062,196185,201441,204024,210429,139764,235167,196121
129242,216597,130226,195003,186283,193973,152600,193584,19554401,185572,179894,192819,215655,136950,203368,15468801
129428,122931,235316,111948,217402,153269,143358,129525,224323,192323,110413,232706,222178,212601,217235,195030
129525,143358,166452,111948,224323,112075,235316,217235,212601,232706,110413,153269,192323,222178,164447,217402
129534,117575,217606,179256,211130,170091,142090,102261,199759,451370,135364,203997,177126,195155,165945,239424
129774,198835,152992,137564,153825,180258,190983,166391,217013,154004,166948,156356,157076,217633,237312,147244
129941,191931,195003,194091,184694,15468801,15468802,186283,185572,19554401,201195,152600,193353,211088,215655,193584
130110,167321,456010,440925,466921,134680,447458,446808,208239,191205,209533,446002,367954,113582,234492,446668
130183,114585,146393,363934,383020,434982,154518,456621,450492,438416,443881,445300,398130,445391,381787,211477
130226,129242,193973,195003,216597,179894,185572,201195,19554401,215655,152600,191931,186283,211088,15468801,193584
130253,194958,203368,215655,147013,15468802,15468801,152600,19554401,206862,186283,190725,136950,209612,146612,193584
130314,140447,184773,150066,139199,195234,239080,221971,233541,216931,240107,215929,176479,164739,121691,232557
130493,179566,142115,221740,217864,139366,138789,110510,171146,219602,10236801,10236803,148654,199218,100830,110574
130581,446039,439914,429094,429085,444699,439020,11458501,447698,441308,460738,430704,454856,454245,466930,457129
130590,233374,166124,210401,236328,214175,175980,153144,169080,158477,133492,455770,100937,191515,161086,161004
130697,212577,128902,212009,212674,196866,237057,170532,218973,145646,160977,239017,143084,222983,170301,162654
130776,240268,230782,159966,174233,151360,186371,240329,218724,222831,213783,200280,240471,240480,155399,154095
130794,198419,217156,166027,166683,195030,110404,243744,182670,215062,190150,131496,147767,179867,144050,221999
130934,151360,138716,186371,159966,199999,106412,174233,222831,159009,176044,160630,130776,198543,230782,175342
130943,129020,166629,163286,196088,132903,196097,240444,233921,228723,153658,171100,174066,217882,199193,243780
130989,146490,442897,164580,129941,217518,201195,201548,212832,184694,206437,193292,232885,185572,191931,171492
131098,238078,147244,198835,217633,217013,154004,237312,153126,137564,129774,134079,150145,230852,199209,180258
131113,238430,145619,132471,216852,149514,178059,188429,191649,186584,117140,109785,213011,110097,195720,121150
131159,239105,144740,122436,207971,122612,228875,195809,193654,120883,174914,13247101,194310,12293101,120254,131469
131283,179159,146719,212054,127060,196468,167358,191241,145725,194541,212106,174914,181002,209825,173665,192703
131399,162283,221838,199102,177940,234155,229063,207209,163338,163453,177551,160630,363721,211608,190576,206914
131450,152336,207582,102669,239390,165671,193399,160065,181604,226471,180984,195544,151263,194310,203580,199962
131469,12293101,193900,123961,131496,160755,215062,201645,190150,162928,221999,227757,211440,144050,164988,168148
131496,215062,190150,123961,131469,193900,221999,12293101,144050,162928,227757,201645,160755,211440,164988,130794
